E91,3-Stage,Decoy
0.8143,0.4114,0.3442
0.6872,0.3712,0.3375
0.6393,0.3386,0.3089
0.5795,0.3036,0.3026
0.5226,0.2498,0.2776
0.3513,0.0538,0.2207
0.2222,0,0.1485
0.1551,0,0.1008
