E91,3-Stage,Decoy
0.32,0,0.245
0.2383,0.0006,0.1628
0.1703,0.0125,0.1257
0.1483,0.0017,0.1022
0.0883,0.0016,0.0675
0.0221,0.0005,0.0191
0.0015,0,0.0038
0.0017,0,0.0015
