E91,3-Stage,Decoy
0.3959,0.2007,0.247
0.3362,0.2007,0.2147
0.3092,0.1827,0.2015
0.2732,0.205,0.1803
0.25,0.1724,0.1578
0.1639,0.1029,0.1082
0.1052,0.0418,0.0692
0.0668,0,0.0465
