E91,3-Stage,Decoy
0.5728,0.3275,0.4303
0.4157,0.1308,0.3157
0.352,0.0638,0.251
0.2807,0.0263,0.2169
0.2493,0,0.2022
0.2174,0,0.1534
0.159,0,0.1127
