E91,3-Stage,Decoy
0.3093,0.0862,0.2088
0.2292,0.037,0.1702
0.1614,0.0201,0.1362
0.1564,0.0153,0.1196
0.1273,0.01,0.0967
0.0541,0.0017,0.0362
0.0224,0,0.0186
0.0112,0,0.0094
