E91,3-Stage,Decoy
0.4128,0.2007,0.2562
0.3475,0.2222,0.2228
0.3064,0.1989,0.1976
0.2838,0.2017,0.1897
0.2513,0.1986,0.1643
0.1627,0.115,0.1054
0.1145,0.0416,0.067
0.0637,0,0.0365
