Burst = 40,Burst = 600,Burst = 800,Burst = 1000,Burst = 1200
0.196393888765391,0.192381894325889,0.197890267164851,0.194391857831576,0.174961448014092
0.194391857831576,0.189351847461352,0.196893168946884,0.194391857831576,0.18272296233817
0.199878657909936,0.197890267164851,0.176523708866955,0.188845056356737,0.190363894359032
0.200374554897082,0.208732953802464,0.189858126226105,0.196893168946884,0.197890267164851
0.182209349827236,0.198885426101027,0.199878657909936,0.196893168946884,0.16707263695066
0.191878151872302,0.197391961231946,0.179116319181652,0.185793453435477,0.195393858485071
0.178598903422806,0.189858126226105,0.183236039181477,0.180665279364429,0.193387874077865
0.189872852756645,0.200374554897082,0.19938228214288,0.196893168946884,0.191878151872302
0.188440137030517,0.183236039181477,0.201364918463319,0.173394097894311,0.202846909788833
0.172131350726119,0.190869153556462,0.18272296233817,0.198388088279802,0.189858126226105
0.190430904656701,0.19137390550313,0.198388088279802,0.195393858485071,0.199878657909936
0.20226536418059,0.189351847461352,0.204816324665161,0.182209349827236,0.190869153556462
0.185863638778645,0.194391857831576,0.191878151872302,0.187829930236495,0.184772074358319
0.192547302346225,0.190869153556462,0.193387874077865,0.16918917616481,0.189858126226105
0.188498815380072,0.196393888765391,0.20432467098028,0.190363894359032,0.193890114644327
0.193336939297806,0.193387874077865,0.212620560853354,0.200869974589611,0.19938228214288
0.182677040018887,0.190869153556462,0.196893168946884,0.185793453435477,0.198885426101027
0.203263429266843,0.198885426101027,0.188845056356737,0.190869153556462,0.183236039181477
0.18849792741573,0.193387874077865,0.180665279364429,0.191878151872302,0.199878657909936
0.220884939487971,0.195894119133025,0.187321591745144,0.189858126226105,0.189351847461352
0.172500412151344,0.185822333636537,0.204816324665161,0.200869974589611,0.189858126226105
0.200538222587353,0.192516127317048,0.180177582926005,0.18272296233817,0.202353384610483
0.21443999083503,0.201367300671883,0.195499728694221,0.193920138857895,0.185793453435477
0.17475614725102,0.180709543708618,0.215031910927843,0.191418413689901,0.201874957641116
0.208721743552695,0.193282140659038,0.187731801993809,0.201211595184226,0.181265213153685
0.21318395069088,0.188301187903907,0.204884240245034,0.179509156568223,0.202265060542686
0.22967554935733,0.177532682787782,0.186042910038307,0.199034165542868,0.191134886281698
0.20325591121164,0.1968848410833,0.188138875930353,0.183122068301373,0.184412878259773
0.18811923481322,0.192918566434756,0.192222613838933,0.203917056117667,0.18979682775575
0.147447195866884,0.195827683962319,0.203893262019492,0.19195110282469,0.207253180229145
0.198122838297803,0.186891077276835,0.18496465466908,0.199430031428142,0.188621634574409
0.179729490161331,0.191005509609674,0.199521232202162,0.190925970079364,0.182375715253445
0.214136756781251,0.197602853533518,0.209364760360837,0.207461704828907,0.190126183733155
0.216837630325798,0.186585027445735,0.181270939462862,0.192004296366621,0.19076284477183
0.181813171695618,0.202015203664803,0.191851372032078,0.182138464578866,0.207002707505298
0.251319261664725,0.195082772006442,0.208201291712439,0.185414800363391,0.206549360489196
0.133039648610699,0.213641539997125,0.197590503555266,0.201451177648318,0.205389840055931
0.178504262524714,0.151575329264562,0.182473324154328,0.199332404403733,0.202144419675811
0.216396932451265,0.226794457003526,0.152997263257866,0.223753368083389,0.202310814770571
0.194391857831576,0.193310170069844,0.177247633947043,0.191679442817257,0.191849836799768
0.373951366681211,0.183575617711139,0.180633545911198,0.205288167887024,0.189156907895484
0.110580844769887,0.227861645939866,0.159077169021071,0.200812250809323,0.186463216446594
0.258018668664815,0.209883246089504,0.230553315656204,0.192641597542919,0.188748030570012
0.151096970517114,0.16468577169506,0.214389329818976,0.156155514764937,0.20984330918246
0.566509506552905,0.200891503771982,0.220283266951274,0.193559968389951,0.231315219795483
NaN,0.267197908261867,0.21558371017096,0.217034132049129,0.218199668838921
0.362051251733998,0.178913476601975,0.193196413171008,0.237134404794088,0.206662362456949
0.430551867010439,0.176929449697514,0.136577216298029,0.226189570439555,0.198707422326463
0.297472248919289,0.184835715703201,0.134363438148932,0.205200561754248,0.167151271911593
NaN,0.185803079072303,0.294615205652807,0.138616038795943,0.176555027832515
NaN,0.0884739763441975,0.300391417364782,0.219887712180534,0.167432070508189
NaN,0.193642804683899,0.29292995113886,0.0969446060624732,0.116481154342608
NaN,0.305984873713835,0.110580844769887,0.0918371655777742,0.200622324312715
0.591672778582327,0.156491062905702,0.236576224706903,0.143726169939382,0.143726169939382
0.591672778582327,0.177389453185997,0.205592508185083,0.189278431261202,0.253878440298162
NaN,0.165427033996267,0.249882292833185,0.086504214121346,0.237977151319037
NaN,0.131106529582345,0.309543429150325,NaN,0.0888796956845758
NaN,0.503258334775646,0.119116026655648,0.133039648610699,0.103275084571635
NaN,0.228538143953528,0.141440542541821,0.133039648610699,0.263777436694139
NaN,NaN,NaN,0.148549490430348,0.119116026655648
