E91,3-Stage,Decoy
0.3897,0.2017,0.1735
0.3426,0.1947,0.1497
0.3099,0.1492,0.1574
0.2936,0.132,0.1518
0.2574,0.1208,0.1341
0.1673,0,0.1087
0.1092,0.0153,0.072
0.0741,0,0.0513
