E91,3-Stage,Decoy
0.00984087102177554,0.0308,0.0113188976377953
0.011402027027027,0.029,0.008
0.0102541239411502,0.0282,0.00911528150134048
0.0099126740618362,0.0318,0.0154525386313466
0.00908004778972521,0.0316063212642528,0.00564652738565782
0.00951188986232791,0.0292204543180226,0.00696055684454756
0.0111083059833375,0.0260286314946441,0.00553165334972342
0.0132661183337755,0.0293822703569996,0.00865800865800866
0.00767123287671233,0.0300251889168766,0.00782268578878748
0.00952647800504343,0.0299777192627101,0.0100874243443174
0.00840092699884125,0.0265279053157841,0.0107238605898123
0.0132930513595166,0.0288879685235038,0.0100937274693583
0.0115516703090852,0.0299055613850997,0.00946142649199418
0.0135860979462875,0.0268277041470714,0.00994644223412395
0.00583991755410512,0.032098494009014,0.00644122383252818
0.0123500352858151,0.0270393092478982,0.0123456790123457
0.00884329678103997,0.0315118612061843,0.013745704467354
0.00936329588014981,0.0268718700378649,0.0112554112554113
0.0114111829593001,0.0293814432989691,0.00686695278969957
0.0117742590336987,0.033012563485699,0.0068159688412853
0.00801349641501476,0.0303946989340248,0.0157170923379175
0.00850340136054422,0.0287365060057777,0.00725388601036269
0.0101950354609929,0.0337423312883436,0.0051440329218107
0.0122237893747062,0.0311095748358106,0.00798175598631699
0.00795135640785781,0.0287440497986086,0.00550660792951542
0.00695134061569017,0.0275284260921604,0.00742574257425743
0.00843672456575682,0.031504500642949,0.00946745562130178
0.0104004160166407,0.0304766269477544,0.0078125
0.0122562674094708,0.0287443267776097,0.0101781170483461
0.00886426592797784,0.0282037239868565,0.0116279069767442
0.00821114369501466,0.0280429594272076,0.0114613180515759
0.00867410161090459,0.027831715210356,0.00462962962962963
0.00928217821782178,0.0324090745408714,0.0105263157894737
0.00702875399361022,0.026148969889065,0.00622083981337481
0.00604432505036938,0.0312236286919831,0.0101351351351351
0.005621925509487,0.0277647058823529,0.00475435816164818
0.00842696629213483,0.0285292670929661,0.00834724540901502
0.0094488188976378,0.0297312750142939,0.00349040139616056
0.008792965627498,0.0329067641681901,0.0197486535008977
0.00632411067193676,0.0300644237652112,0.0121212121212121
0.00885668276972625,0.0285273708558211,0.00782778864970646
0.00967458223394899,0.0400355871886121,0.00798403193612774
0.00854700854700855,0.0431588613406795,0.00410677618069815
0.0081008100810081,0.0417061611374408,0.0158013544018059
0.00854700854700855,0.0296377607025247,0.0119617224880383
0.0181992337164751,0.0286783042394015,0.00748129675810474
0.0137120470127326,0.0183727034120735,0.0022883295194508
0.0105042016806723,0.0214168039538715,0.0152671755725191
0.012035010940919,0.028436018957346,0.010752688172043
0.0116009280742459,0.0273504273504274,0.0168067226890756
0.00836320191158901,0.0397489539748954,0.00555555555555556
0.00766283524904215,0.0233100233100233,0.0077120822622108
0.0075,0.0299539170506912,0.00595238095238095
0.00513478818998716,0.0369393139841689,0.0142045454545455
0.0157068062827225,0.0340557275541796,0.00315457413249211
0.0140252454417952,0.026578073089701,0.00689655172413793
0.013869625520111,0.0412371134020619,0.00641025641025641
0.00610687022900763,0.0266666666666667,0.0103806228373702
0.0171073094867807,0.018957345971564,0.0075187969924812
0.00655737704918033,0.0292682926829268,0.0107913669064748
0.0115131578947368,0.0216216216216216,0.016597510373444
0.00878734622144113,0.0240963855421687,0.00865800865800866
0.013840830449827,0.0367647058823529,0.0129310344827586
0.0161870503597122,0.046875,NaN
0.0143884892086331,0.0447761194029851,0.0180995475113122
0.0133333333333333,0.0471698113207547,0.0133333333333333
0.0104384133611691,0.0380952380952381,0.00446428571428571
0.00879120879120879,0.0307692307692308,0.00495049504950495
0.00911161731207289,0.0121951219512195,0.0153846153846154
0.0194805194805195,0.0483870967741935,0.0100502512562814
0.0117647058823529,0.0131578947368421,0.0182926829268293
0.0076530612244898,NaN,0.0113636363636364
0.00769230769230769,NaN,0.0180722891566265
0.0025974025974026,0.0188679245283019,NaN
0.0147058823529412,0.0465116279069767,NaN
0.012987012987013,0.0909090909090909,0.0140845070422535
0.00884955752212389,0.0285714285714286,0.00684931506849315
0.00628930817610063,0.08,0.00709219858156028
0.0237388724035608,NaN,0.00719424460431655
0.00996677740863787,NaN,0.0135135135135135
0.0068259385665529,NaN,0.015625
0.0112781954887218,NaN,0.00819672131147541
0.0103448275862069,0.0434782608695652,NaN
0.008,0.105263157894737,NaN
0.00374531835205993,NaN,NaN
NaN,0.1,NaN
0.00431034482758621,NaN,NaN
0.00413223140495868,NaN,0.0253164556962025
0.00408163265306122,0.0909090909090909,0.021505376344086
0.00947867298578199,0.166666666666667,NaN
0.0128205128205128,NaN,NaN
0.00478468899521531,NaN,0.0116279069767442
0.0133333333333333,NaN,0.0119047619047619
0.0106382978723404,NaN,0.0212765957446809
0.0158730158730159,NaN,0.0178571428571429
0.0111111111111111,NaN,NaN
NaN,0.25,NaN
0.00617283950617284,NaN,NaN
0.00684931506849315,NaN,NaN
0.0148148148148148,NaN,0.0338983050847458
