E91,3-Stage,Decoy
0.8388,0.4155,0.512
0.7002,0.4129,0.4416
0.6487,0.3986,0.4105
0.5771,0.4036,0.3723
0.4941,0.394,0.3276
0.3502,0.2262,0.2225
0.2318,0.0967,0.1407
0.143,0.0341,0.0914
