Line,Square,Ring,Star
0.60801,1.22704,0.60193,0.61181
0.60861,1.21246,0.60621,0.61782
0.60511,1.22195,0.60332,0.6269
0.6115,1.22413,0.61041,0.60805
0.61004,1.22865,0.61151,0.56856
0.61241,1.21917,0.61612,0.51465
0.60388,1.21431,0.60985,0.43281
0.61112,1.22845,0.60072,0.33873
0.6108,1.22932,0.61245,0.2494
0.61269,1.21066,0.60207,0.17529
0.60171,1.22327,0.60899,0.11241
0.59642,1.23153,0.60108,0.07405
0.59385,1.21072,0.60137,0.04485
0.58432,1.21945,0.60543,0.02854
0.56511,1.20106,0.59182,0.01911
0.54924,1.19936,0.58686,0.01181
0.52768,1.18966,0.57645,0.00609
0.5098,1.17232,0.56463,0.00302
0.48407,1.16068,0.56248,0.00186
0.46465,1.14791,0.5479,0.00106
0.44606,1.12432,0.53105,0.00092
0.4179,1.1041,0.51937,0.00043
0.38618,1.07428,0.50319,0.00039
0.36749,1.05144,0.48928,0.00032
0.34492,1.02824,0.47259,0.00022
0.31404,0.9836,0.44128,0.00013
0.29824,0.95683,0.4294,9e-05
0.27116,0.93607,0.41349,3e-05
0.25516,0.90286,0.39432,2e-05
0.2348,0.86004,0.3693,0
0.21945,0.83447,0.35099,0
0.19686,0.79534,0.33904,0
0.18045,0.75863,0.31364,0
0.16394,0.73104,0.30077,0
0.14949,0.69083,0.27996,0
0.13767,0.65682,0.26093,0
0.12745,0.62629,0.2477,0
0.11293,0.5954,0.23256,0
0.10373,0.55819,0.21486,0
0.09319,0.5338,0.20204,0
0.08423,0.50457,0.1893,0
0.07686,0.46878,0.18018,0
0.06939,0.43964,0.16596,0
0.06325,0.43071,0.15395,0
0.05714,0.39805,0.14528,0
0.05514,0.36776,0.13306,0
0.0483,0.34896,0.11815,0
0.04185,0.32815,0.11588,0
0.03727,0.30786,0.10759,0
0.03458,0.29173,0.09891,0
0.0317,0.27064,0.08878,0
0.02804,0.24449,0.08375,0
0.0265,0.23063,0.07667,0
0.0232,0.22183,0.06992,0
0.01972,0.20587,0.0669,0
0.01838,0.19431,0.05986,0
0.01781,0.1796,0.05683,0
0.01609,0.16838,0.05496,0
0.01465,0.15616,0.04946,0
0.01297,0.15245,0.04465,0
0.01084,0.13535,0.0406,0
0.01038,0.13021,0.03814,0
0.00917,0.11875,0.03602,0
0.00835,0.10953,0.03386,0
0.00675,0.10875,0.02886,0
0.00643,0.09895,0.02705,0
0.00598,0.09018,0.02701,0
0.00518,0.08192,0.02314,0
0.0048,0.07853,0.02192,0
0.00531,0.07399,0.01963,0
0.0045,0.06486,0.01855,0
0.00309,0.06032,0.01733,0
0.00286,0.05652,0.01699,0
0.00286,0.05525,0.01382,0
0.00295,0.05043,0.01296,0
