E91,3-Stage,Decoy
0.2848,0,0.4709
0.1558,0.0082,0.2386
0.1255,0,0.1743
0.0781,0.0046,0.1168
0.0465,0,0.0769
0.0103,0,0.0113
0.0033,0,0.0029
0.0003,0,0.0008
