E91,3-Stage,Decoy
0.2832,0.0813,0.4427
0.2093,0.0399,0.3387
0.2081,0.0218,0.266
0.1534,0.0187,0.2265
0.1144,0.006,0.179
0.0595,0.0019,0.0679
0.0228,0.0001,0.0316
0.0099,0,0.0119
