E91,3-Stage,Decoy
0.29344,0.08131,0.22594
0.21611,0.04064,0.1645
0.18341,0.02504,0.13708
0.15064,0.01609,0.11824
0.12512,0.0097,0.08903
0.05278,0.00091,0.03992
0.02207,5e-05,0.01698
0.01109,1e-05,0.00712
