E91,3-Stage,Decoy
0.309,0.002,0.4674
0.2292,0,0.3175
0.1516,0,0.274
0.1357,0,0.1977
0.086,0.0047,0.1462
0.0282,0.0001,0.0433
0.0059,0,0.0088
0.0015,0,0.0024
