E91,3-Stage,Decoy
0.2852,0.0008,0.2364
0.1758,0.0031,0.1272
0.122,0.0032,0.0993
0.0845,0.0008,0.0643
0.0472,0.001,0.036
0.0125,0.0002,0.009
0.0008,0,0.0016
0.0003,0,0.0009
