E91,3-Stage,Decoy
0.5821,0.3422,0.4393
0.4185,0.1911,0.3077
0.3278,0.1275,0.2418
0.2504,0.0817,0.1958
0.1813,0.0349,0.1357
0.0486,0.0005,0.0424
0.0099,0,0.0067
0.0019,0,0.0013
