Line,Square,Ring,Star
0.30601,0.32469,0.32586,0.30625
0.30529,0.31613,0.32106,0.30825
0.29916,0.31507,0.32863,0.30378
0.31153,0.31875,0.31535,0.3071
0.30052,0.3233,0.33088,0.3028
0.31051,0.31794,0.31958,0.30727
0.30252,0.31922,0.32276,0.31065
0.30938,0.32657,0.31851,0.30578
0.31465,0.32222,0.32289,0.31107
0.30828,0.32714,0.31741,0.31045
0.30354,0.32325,0.32575,0.30573
0.30142,0.32177,0.31292,0.29881
0.30843,0.32502,0.32447,0.30465
0.29893,0.33008,0.31373,0.3035
0.30344,0.32224,0.31048,0.29444
0.30125,0.31693,0.31225,0.29944
0.29287,0.31656,0.32025,0.29236
0.29442,0.31368,0.30864,0.29945
0.29144,0.32115,0.3159,0.29168
0.29452,0.32996,0.31777,0.29092
0.28305,0.31896,0.30961,0.28115
0.28202,0.32335,0.30719,0.27768
0.2736,0.31033,0.29857,0.27849
0.2732,0.31149,0.29621,0.27509
0.26809,0.30581,0.28504,0.26762
0.27138,0.30988,0.29561,0.26432
0.26486,0.29792,0.28335,0.26315
0.25904,0.29801,0.27595,0.25726
0.24622,0.29251,0.26863,0.25384
0.24168,0.29821,0.26303,0.24632
0.24018,0.30383,0.25925,0.24028
0.23262,0.30082,0.24463,0.23144
0.22177,0.28584,0.24269,0.22243
0.2145,0.28504,0.2316,0.21892
0.21124,0.28762,0.22166,0.21741
0.20522,0.27404,0.22513,0.21156
0.20125,0.27313,0.212,0.20201
0.19647,0.27339,0.20492,0.19553
0.18848,0.26016,0.20427,0.19141
0.17849,0.26308,0.18656,0.18181
0.17757,0.25599,0.18469,0.17538
0.17277,0.26064,0.17218,0.16806
0.16415,0.24488,0.17455,0.16103
0.15417,0.23785,0.15919,0.1548
0.14632,0.23959,0.15596,0.15295
0.14444,0.22907,0.1488,0.14476
0.13761,0.2331,0.14357,0.13884
0.13085,0.22226,0.12968,0.13215
0.1296,0.20801,0.12828,0.12968
0.11919,0.20361,0.11901,0.11976
0.113,0.19898,0.11306,0.11768
0.10754,0.19925,0.10626,0.11212
0.10516,0.18304,0.10283,0.10497
0.10084,0.18611,0.09603,0.09962
0.09578,0.17955,0.08938,0.09476
0.09151,0.17963,0.08065,0.09131
0.08825,0.16893,0.08389,0.08612
0.08171,0.15914,0.07113,0.08315
0.07782,0.15471,0.06841,0.07998
0.07294,0.15788,0.06436,0.07506
0.07209,0.1442,0.05881,0.07206
0.06682,0.1419,0.06022,0.06771
0.06375,0.13672,0.05804,0.0655
0.05893,0.13008,0.04934,0.06082
0.05825,0.12097,0.04642,0.05841
0.05453,0.11907,0.04319,0.05551
0.04952,0.10998,0.04194,0.05549
0.04728,0.10829,0.03713,0.04839
0.0461,0.10233,0.03481,0.04501
0.0461,0.10332,0.03009,0.04351
0.04123,0.09339,0.02972,0.04159
0.0396,0.09048,0.02884,0.0397
0.03653,0.08302,0.02427,0.03817
0.03762,0.08185,0.02376,0.03673
0.03255,0.08351,0.02283,0.03306
0.03249,0.07254,0.01879,0.03185
0.02932,0.06757,0.01795,0.0291
0.02662,0.06652,0.01692,0.02869
0.02683,0.06517,0.01688,0.02624
0.02387,0.06216,0.01474,0.02432
0.02121,0.05443,0.01169,0.02261
0.02291,0.05132,0.01263,0.02135
0.01977,0.04992,0.01053,0.02082
0.01969,0.04455,0.0109,0.0182
0.01791,0.0397,0.00939,0.01783
0.01707,0.04294,0.00837,0.01585
0.01603,0.04097,0.0086,0.0163
0.01523,0.03802,0.00772,0.01621
0.01298,0.03172,0.00665,0.01246
0.0141,0.03328,0.00602,0.01334
0.0122,0.02923,0.00424,0.01343
0.01191,0.02701,0.00582,0.01259
0.00965,0.0254,0.00447,0.01163
0.01018,0.0248,0.00499,0.01039
0.0087,0.0218,0.00452,0.00957
0.00843,0.02058,0.00372,0.00966
0.00797,0.02003,0.00358,0.00709
0.0068,0.01651,0.00265,0.00761
0.00717,0.01791,0.00256,0.00679
0.00637,0.01472,0.00161,0.00602
0.00669,0.01439,0.00241,0.00598
0.00601,0.01262,0.00195,0.00688
0.0054,0.01225,0.00175,0.00618
0.00572,0.01275,0.00152,0.00545
0.00465,0.01003,0.00143,0.00519
0.00466,0.01135,0.0012,0.00491
0.00468,0.01153,0.00077,0.00498
0.00342,0.00818,0.00072,0.00375
0.00462,0.0076,0.00076,0.00413
0.00354,0.00755,0.0006,0.00322
0.00305,0.00691,0.00127,0.00348
0.00347,0.00618,0.00076,0.0032
0.00308,0.00496,0.0008,0.00321
0.00267,0.00427,0.00074,0.00313
0.00253,0.00517,0.00021,0.00279
0.00233,0.00405,0.00035,0.0029
0.00221,0.00519,0.00047,0.00213
0.00192,0.00356,0.00036,0.0018
0.00173,0.0032,0.00047,0.00202
0.00123,0.00358,0.00014,0.00224
0.00152,0.00315,0.00017,0.00194
0.00069,0.00267,0.0002,0.00151
0.00135,0.00261,0.00033,0.00157
0.0016,0.00152,0.00019,0.00167
0.00162,0.00276,0.00033,0.00082
